fid,idcar_1km,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc,codearondo
"1700",CRS3035RES1000mN2255000E3999000,"0","83064",1147,544,112.1,203,24,269,98,23162854.8,45440,206,338,223,33.9,114,172.1,1,35,49,26,59.9,117,78.9,201.1,221.1,134,167,92,1,"383"
"1701",CRS3035RES1000mN2255000E4000000,"0","8306483106",459.5,186.1,15.1,34,10.1,172.1,11,12338423.6,20365.8,3.9,182.2,2,18.2,86.9,78,1,0,14.9,11,11.2,30.4,30,59.9,79.9,70.1,107.9,36,8.2,"383"
"1702",CRS3035RES1000mN2255000E4001000,"0","830598310683064",316.5,131,9.9,24.9,5.1,114.1,7.9,8308481,13684.9,11.1,119.9,2.1,0.9,58,70,0,0,3.9,4,7,23.7,32.9,30.2,75.8,51,68.9,19.1,0,"383"
"1703",CRS3035RES1000mN2255000E4002000,"0","83059",1030,431,54,126,29,313.9,37,23222748.4,38362,90.1,340.9,59,17,190.1,160.9,4,0,45.5,35.5,61.5,105.5,65,172.9,208,104.1,160.1,71.9,0,"383"
"1704",CRS3035RES1000mN2255000E4003000,"0","83059",577,194,12,17,20,184.9,20.1,13836731.1,20873.1,1,193,0,0,36,158,0,0,45.8,24.1,63.5,49.5,29.9,147,115,45.1,51.1,6,0,"383"
"1705",CRS3035RES1000mN2255000E4004000,"1","8305983111",19,9.2,0.7,3.8,0.7,7.6,0.7,432256.9,954.5,0,9.2,0,0,7.6,1.6,0,0,0,0,0,0,1.6,1.6,3.1,6,4.5,2.2,0,"383"
"1706",CRS3035RES1000mN2255000E4005000,"0","8311183059",229,97,3.9,22.9,7.1,87.9,3.1,5878788.2,10630.9,3,94,1,0,58,38,0,0,8.9,4,7.1,14.1,15.9,18.9,43.1,34,61,22,0,"383"
"1707",CRS3035RES1000mN2255000E4006000,"0","8311183018",79,35.9,2.2,7,2.2,34.2,4.2,2078182.1,3670.8,0,35.9,0,1.6,20.1,14.2,0,0,3,3.3,1.3,6.7,1.7,7,16.9,8.8,20.1,10.2,0,"383"
"1708",CRS3035RES1000mN2255000E4007000,"1","8301883111",12,6,1.7,1.7,0,5.1,0.9,265426.8,451.2,0.4,5.6,1.2,0.9,3,0.9,0,0,0,0,0.4,0.8,0,1.7,1.7,4.8,2.2,0.4,0,"383"
"1709",CRS3035RES1000mN2255000E4008000,"1","83018",17,8.1,1.5,3.8,0,6.8,0.6,302166.1,739.1,2.3,5.8,2.1,3,2.3,0.7,0,0,0,0,0.6,0.7,2.3,1.5,4.5,3.6,2.3,1.5,0,"383"
"1710",CRS3035RES1000mN2255000E4009000,"0","83018",85,38.9,3.9,8.1,1.7,33.1,1.7,2415816.6,4891.1,1.8,37.1,2.9,1.7,12.4,21.9,0,0,0,0,0,2.9,12.4,1.7,21.1,18.7,25.3,2.9,0,"383"
"1711",CRS3035RES1000mN2255000E4010000,"0","83018",142,59.8,6.1,15.8,2.7,51,9.9,3550109.7,6636.1,5.9,53.9,2.9,5.3,8.8,42.8,0,0,0.9,1.2,15.8,14.2,8.8,20.9,41.1,21.9,14.2,3,0,"383"
"1712",CRS3035RES1000mN2255000E4011000,"0","83018",64,25.8,3.9,3,0.9,25.1,2.1,1684714.2,3590.2,0,25.8,0,0.8,3.1,21.9,0,0,3,0.5,3.4,3,1.8,10,12.1,12.1,15,3.1,0,"383"
"1713",CRS3035RES1000mN2255000E4012000,"1","83018",15,6.5,1,1.2,0.5,3.5,1.2,359914.3,618.8,1.5,5,1.3,0.7,2.5,2,0,0,1.5,0.7,0.7,0.8,0.3,3,3.5,2,2.2,0.3,0,"383"
"1714",CRS3035RES1000mN2255000E4014000,"1","830188305783092",4,1.7,0.3,0.3,0.1,0.9,0.3,95977.2,165.1,0.4,1.3,0.4,0.1,0.7,0.5,0,0,0.4,0.1,0.2,0.3,0.1,0.8,0.9,0.5,0.6,0.1,0,"383"
"1715",CRS3035RES1000mN2255000E4015000,"1","8305783092",14,6,0.9,1.2,0.5,3.3,1.2,335920,577.6,1.4,4.6,1.2,0.5,2.4,1.9,0,0,1.6,0.6,0.6,0.9,0.2,2.7,3.2,1.9,2.1,0.2,0,"383"
"1716",CRS3035RES1000mN2255000E4016000,"1","8305783067",11,5.1,1.2,1.2,0,4.5,0.4,256665.2,387.6,0,5.1,1.7,0.4,1.2,1.8,0,0,0.4,0,0,0.4,0.8,0,2.1,1.8,4.3,1.2,0,"383"
"1717",CRS3035RES1000mN2255000E4017000,"1","83067",7,3.2,0.8,0.8,0,3,0.3,163332.4,246.6,0,3.2,1.1,0.2,0.8,1.1,0,0,0.2,0,0,0.3,0.5,0,1.4,1.1,2.7,0.8,0,"383"
"1718",CRS3035RES1000mN2255000E4018000,"1","83067",8,3.7,0.3,1.3,0.2,2.9,0.3,169349.3,320.8,0.1,3.6,0.5,0,1.5,1.7,0,0,0.1,0.1,0.2,0.7,0.4,0.9,2,1.4,1.1,1.1,0,"383"
"1719",CRS3035RES1000mN2255000E4020000,"1","83067",15,6.9,0,2.4,0.4,5.6,0.4,442046.4,767.7,1.5,5.4,3.6,0.9,1.5,0.9,0,0,0,0.3,0.3,0.4,1.5,2.7,1.1,2.4,3.6,2.7,0,"383"
"1720",CRS3035RES1000mN2255000E4021000,"1","83067",18,8.3,0,2.9,0.7,6.5,0.7,530455.7,921.4,1.8,6.5,4.3,1.1,1.8,1.1,0,0,0,0.2,0.2,0.7,1.8,3.4,1.1,2.9,4.3,3.4,0,"383"
"1721",CRS3035RES1000mN2255000E4022000,"1","8306783073",3,1.8,0.6,0.6,0,1.2,0.3,63388.5,155.7,0.6,1.2,0.6,0.3,0.3,0.6,0,0,0,0,0,0,0.3,0,0.6,0.9,0.6,0.6,0,"183"
"1722",CRS3035RES1000mN2255000E4022000,"1","8306783073",3,1.8,0.6,0.6,0,1.2,0.3,63388.5,155.7,0.6,1.2,0.6,0.3,0.3,0.6,0,0,0,0,0,0,0.3,0,0.6,0.9,0.6,0.6,0,"383"
"1723",CRS3035RES1000mN2255000E4023000,"0","8307383067",25,12,3,3.9,0,7,0,679645.8,1423,2,10,1.1,0,5,5.9,0,0,0,0,0.9,3,0,0,5.9,3,11.1,1.1,0,"183"
"1724",CRS3035RES1000mN2255000E4023000,"0","8307383067",25,12,3,3.9,0,7,0,679645.8,1423,2,10,1.1,0,5,5.9,0,0,0,0,0.9,3,0,0,5.9,3,11.1,1.1,0,"383"
"1725",CRS3035RES1000mN2255000E4027000,"1","83031",1,0.5,0.1,0.2,0,0.3,0,23308.6,44.5,0.1,0.4,0.3,0.1,0,0.1,0,0,0.1,0,0.1,0,0,0.2,0.2,0.2,0.2,0,0,"183"
"1726",CRS3035RES1000mN2255000E4031000,"1","83063",18,12.4,2.9,7.5,0,5.6,1.9,338351.2,1051.5,1,11.4,7.7,0,1,3.7,0,0,1,0,0.5,0.6,0,3.7,4.7,3.7,1.9,1.9,0,"183"
"1727",CRS3035RES1000mN2255000E4034000,"1","83063",12,5.2,0.6,1.4,0.2,3.2,0,351493.7,536.8,1.1,4.1,0.8,0.3,1.1,3,0,0,0.6,0,1,0.6,1.1,1.3,2.4,3,0.8,1.2,0,"183"
"1728",CRS3035RES1000mN2255000E4035000,"1","83063",32,13.8,1.5,3.6,0.7,8.7,0,937316.5,1431.3,2.9,10.9,2.2,0.7,2.9,8,0,0,1.5,0,2.9,1.5,2.9,3.6,6.5,8,2.2,2.9,0,"183"
"1729",CRS3035RES1000mN2255000E4036000,"1","83063",1,0.6,0.2,0.3,0,0.4,0.1,19593.6,88.8,0,0.6,0.1,0,0.2,0.3,0,0,0,0,0.1,0,0,0.1,0.3,0.1,0.2,0.2,0,"183"
"1730",CRS3035RES1000mN2255000E4038000,"1","8309483063",2,1.3,0.2,0.7,0,0.8,0.1,47008,140.2,0.3,1,0.4,0.2,0.1,0.5,0.1,0,0,0,0.1,0.1,0,0.1,0.3,0.6,0.5,0.3,0,"183"
"1731",CRS3035RES1000mN2255000E4040000,"0","83094",424,178.1,31.9,43.2,12,104.9,30.9,9834125.3,18192.9,21.9,156.2,11,6.3,41.8,116.9,2.1,44,9.4,13.4,26.6,34,26.4,61.8,94.1,67,68.3,21,2,"183"
"1732",CRS3035RES1000mN2255000E4041000,"0","83094",110,51,11.9,19.8,3.1,39.1,1,2829652.1,6779,3,48,4.2,0.9,21.2,24.7,0,0,3.1,2,4.9,6.9,7.2,12.3,28.9,23.9,14.8,6,0,"183"
"1733",CRS3035RES1000mN2255000E4042000,"0","83094",35.5,14.1,1,1,0,12.9,2.1,1158346.6,1961,0,14.1,0.8,0,1.2,12.1,0,0,0.8,1,2.1,4.4,1.1,2.1,14.8,5.1,3,1.1,0,"183"
"1734",CRS3035RES1000mN2255000E4043000,"1","8309483115",18.5,9.7,2.1,3.7,0,8.7,1.6,538956.8,1264,2.3,7.4,2.6,2.1,2.3,2.7,0,0,0,0,0.3,0.5,1.1,1.8,2.6,4.8,6.9,0.5,0,"183"
"1735",CRS3035RES1000mN2255000E4044000,"1","83115",6,2.8,0.7,1,0.1,1.6,0.2,122638,230.2,0.6,2.2,0.4,0.7,0.5,1.2,0,0,0,0.2,0.2,0.6,0.1,0.9,1,1.2,1.6,0.2,0,"183"
"1736",CRS3035RES1000mN2255000E4045000,"1","83115",7,3.2,0.8,1.2,0.1,1.9,0.3,143077.6,268.5,0.7,2.5,0.4,0.8,0.6,1.4,0,0,0,0.2,0.3,0.7,0.1,1.1,1.1,1.3,1.9,0.3,0,"183"
"1737",CRS3035RES1000mN2255000E4049000,"1","8311583107",2,0.9,0.1,0.2,0,0.6,0.1,53029.4,113.4,0.2,0.7,0,0,0.6,0.3,0,0,0,0.1,0,0.1,0.1,0.2,0.3,0.3,0.6,0.3,0,"183"
"1738",CRS3035RES1000mN2255000E4050000,"0","83107",234.5,119,13,47,2,86,10,5861441.8,8444.9,67,52,0,14.1,62.9,42,0,0,5.5,4.5,7,13.5,18,43.9,43,34.1,45,20,0,"183"
"1739",CRS3035RES1000mN2255000E4051000,"0","83107",269.5,134.1,17,36.8,1.9,104,11,7421688.6,14457.1,29.2,104.9,0,34,77.1,22.1,0.9,0,6.1,2.6,9.8,10.5,6.2,25.7,37,41.1,91.8,38.7,0,"183"
"1740",CRS3035RES1000mN2255000E4052000,"0","83107",135.5,76.9,10,29,1,66,4.9,4135472.8,11095,5.1,71.8,0,24.9,45.2,6.8,0,0,0.9,1,1.9,1.5,1,12,12.1,24,56,25.1,0,"183"
"1741",CRS3035RES1000mN2255000E4053000,"0","83107",262,145.1,17,57.9,1.8,113.5,13,7318604,18358.1,30.7,114.4,0,85.6,32.4,26.1,1,0,2.3,1,8.5,13.1,12.4,20.1,23,37.7,113,30.9,0,"183"
"1742",CRS3035RES1000mN2255000E4054000,"1","83107",86,41.5,7.7,15.5,0.8,29.2,3,2218519.9,3559.8,14.6,26.9,0,28.9,9,3.6,0,0,2.6,1.8,5.6,2.8,3.8,6.5,15.9,18.8,18.2,10,0,"183"
"1743",CRS3035RES1000mN2256000E3944000,"0","132021320313215",9643.5,4145,1570,1708,452,970,626,160314981.5,230815,4133,12,1262,533,536,1802,12,1151,721,338,722,897.5,612,2336.9,1799,912,962,322.1,21,"313"
"1744",CRS3035RES1000mN2256000E3945000,"0","1320313214",22029.5,9103,4455,3707,1168,1882,1537,311633510.5,472129,8502,601,4058,1670,1178,2153,44,2465,1553.5,817,1850.5,2323,1336,4120.5,4361,2488,2210,794,176,"313"
"1745",CRS3035RES1000mN2256000E3946000,"0","1320413203132141321313201",12440.5,6055,1536,2783,373,2572,938,238326531.4,344767,5563,492,2580,1333,582,1527,33,966,683.5,367,800.5,1022.5,781.5,2499.5,2471,1464,1534,807,10,"313"
"1746",CRS3035RES1000mN2256000E3947000,"0","132041321313212",11265.5,5484,1268,2501,344,2059,841,221535938.2,319639,5071,413,1722,1598,883,1264,17,1051,609,307,711,888.5,776.5,2420,2150,1380,1378,640,5.5,"313"
"1747",CRS3035RES1000mN2256000E3948000,"0","1321213213",5759.5,2611,252,939,123,1676,308,155703121.9,197593,1810,801,855,616,485,651,4,54,223.4,128,359,461,431,939.1,1181,739,878,420,0,"313"
"1748",CRS3035RES1000mN2256000E3949000,"0","13212",4307,1861,167,582,90,1388,217,122534697.5,153974,963,898,717,668,236,235,5,4,140,102,249.5,369.5,345,602,930,588,658,322,1,"313"
"1749",CRS3035RES1000mN2256000E3950000,"0","1321213213",7941.5,3515,479,1185,176,2302,566,189449045.3,254067,2737,778,649,1775,545,543,3,186,389.5,197,523,660.5,514.5,1392,1545,977,1163,578,2,"313"
"1750",CRS3035RES1000mN2256000E3951000,"0","1321213213",3067,1316,98,398,57,926,155,88152586.5,112435,705,611,274,307,160,574,1,0,133.5,73.4,207,221.5,245.5,618,638,401,395,134.1,0,"313"
"1751",CRS3035RES1000mN2256000E3952000,"0","13212132131300213211",2649,1095.1,99,310.9,73.9,730.1,134.1,71454120.5,94454,615,480.1,195.9,100,345.1,426.1,28,61,114.4,65.4,164.6,206.5,206.1,455.9,493,366.1,420.1,154.9,2,"313"
"1752",CRS3035RES1000mN2256000E3953000,"0","130021321113212",608.5,232,14.2,43,15.9,196,19.1,18810740.7,23552,26,206,60.9,28.9,117,24.2,1,0,31.8,13.2,35.1,47.9,37.5,101,110.2,80.8,115.9,35.1,0,"313"
"1753",CRS3035RES1000mN2256000E3954000,"0","1300213211",113.5,39,1.9,6,6,30.9,4.1,3680352.6,3980,2,37,9.2,4.1,7.9,17.8,0,0,5,1.1,8.6,10.1,7.9,14,23,14.9,23.8,5.1,0,"313"
"1754",CRS3035RES1000mN2256000E3955000,"0","1300213211",461.5,155.9,4.8,20.9,21.2,134.1,19.8,15073803.9,18333.1,9.7,146.2,44,14.6,46.2,48.2,2.9,0,21.1,6.5,31.1,48.1,38.9,64.9,87.9,86.2,61.7,15.1,0,"313"
"1755",CRS3035RES1000mN2256000E3956000,"0","132111300213005",351.5,138.2,8,29.8,10.9,108,15.8,10693657.5,13618,9,129.2,65,12.3,32,28.9,0,0,11.8,8.5,18.4,21.4,36.1,52.1,61,59.8,61.3,20.1,1,"313"
"1756",CRS3035RES1000mN2256000E3957000,"1","130051300213211",8,2.7,0.2,0.3,0.6,2.2,0,225084.8,245.1,0.3,2.4,1.3,0,1.1,0.3,0,0,0.3,0,0.5,0.8,0.3,1.1,1.8,1.6,1.3,0.3,0,"313"
"1757",CRS3035RES1000mN2256000E3958000,"1","13005",11.5,5.2,0.6,1.2,0,3.7,0.6,368004.5,683.6,0.7,4.5,1.8,0.5,1.8,0.7,0.4,0,0.5,0.1,0.5,0.3,0.5,1.8,2.2,1.7,3.5,0.4,0,"313"
"1758",CRS3035RES1000mN2256000E3959000,"1","13005",63.5,29,3.6,6.5,0,20.3,3.6,2032024.9,3774.5,4.4,24.6,10.1,2.6,10.1,4.3,1.9,0,2.6,0.8,2.7,1.6,2.9,10.1,12.1,9.5,19.4,1.8,0,"313"
"1759",CRS3035RES1000mN2256000E3960000,"1","13005",140.5,56.2,2,13.3,5.6,41.3,8.6,4573070.5,6266.3,9.3,46.9,19.9,5.5,24,6.8,0,0,3.7,2,8.6,13,10.3,15.1,27.1,20.3,31.6,8.8,0,"313"
"1760",CRS3035RES1000mN2256000E3961000,"0","13005",505,195.7,9.1,34.1,9.9,155,21,15706977.8,22704,38.8,156.9,45.2,19.7,55.9,74.9,0,0,10.9,7.7,26.3,49.3,34.1,55.9,107.9,76.1,102.9,33.9,0,"313"
"1761",CRS3035RES1000mN2256000E3962000,"0","1300513086",483.5,222.2,17.8,87.7,6.8,128.2,11,13247797.5,19131,89.2,133,38.3,12.1,39.8,129,3,2,20.6,6,20.9,33,41,83.1,105,60.8,85.2,27.9,0,"313"
"1762",CRS3035RES1000mN2256000E3963000,"0","1300513086",338,143.7,14.8,45,8.8,85.1,15.8,9238079.1,13280.1,49.8,93.9,35.7,11.1,52.8,44.1,0,0,6.8,5.7,12.5,25.1,17.5,55.3,64.6,51,75.9,22.9,0.7,"313"
"1763",CRS3035RES1000mN2256000E3964000,"1","130421308613005",208.5,84,5.2,17.7,5,62.4,9,6312346.7,9676.2,4.2,79.8,21.8,10.2,25.9,24.2,1.9,0,5.6,6.9,9.9,21.6,10.9,24.7,41.1,38.2,37.6,12,0,"313"
"1764",CRS3035RES1000mN2256000E3969000,"1","13007",10,5.1,0,1.5,0,3.7,1.5,243452.4,464.9,1.9,3.2,2.9,0.7,1.1,0.4,0,0,0,0,0,0.8,1.1,1.1,2.5,2.6,1.5,0.4,0,"313"
"1765",CRS3035RES1000mN2256000E3970000,"1","8309313007",2,0.7,0.1,0.1,0,0.6,0.1,54154.5,78,0.1,0.6,0,0.1,0.1,0.5,0,0,0.1,0.1,0.2,0.2,0.1,0.3,0.5,0.2,0.3,0,0,"313"
"1766",CRS3035RES1000mN2256000E3970000,"1","8309313007",2,0.7,0.1,0.1,0,0.6,0.1,54154.5,78,0.1,0.6,0,0.1,0.1,0.5,0,0,0.1,0.1,0.2,0.2,0.1,0.3,0.5,0.2,0.3,0,0,"383"
"1767",CRS3035RES1000mN2256000E3971000,"0","83093",143,57.1,5,17.1,5.1,52.1,3.1,3642157.4,5166,18,39.1,0,5.1,5,45,2,0,3,3,14,15,11,25,30.9,28,10.1,3,0,"383"
"1768",CRS3035RES1000mN2256000E3972000,"0","83093",387,186.9,22,81,7,124.9,19.2,9025974.3,14363.1,113,73.9,20,10.1,26.1,127.9,2.8,0,16,7.9,21.6,41.4,16.8,56.1,108.4,42.9,62.9,13,0,"383"
"1769",CRS3035RES1000mN2256000E3973000,"0","83093",591.5,224.9,22.8,66,19.9,167,14.2,14701143.1,21710.9,45.9,179,9.9,13.8,18.9,178.3,4,0,19,17.7,51,74.5,41.2,86.2,172.8,50.3,39,39.8,0,"383"
"1770",CRS3035RES1000mN2256000E3974000,"0","83093",345,141.9,13,28,7,121,15,8891921.2,14752.9,9,132.9,1.8,29,48,63.1,0,0,12,4,25,36,8.9,41.1,89.8,58.2,55.1,14.9,0,"383"
"1771",CRS3035RES1000mN2256000E3993000,"0","83108",318.5,138,27,42,6.9,86,18,6466758.9,11746.1,18,120,75,3.9,33,25.1,1,0,27,4,12,31,26.5,65,61.9,28,42,21.1,0,"383"
"1772",CRS3035RES1000mN2256000E3994000,"0","83108",1181,518,90.9,166.9,36.1,314.8,70,25944903,43780.9,165.2,352.8,142.1,14,99.7,257.2,5,44,35,32.6,76.6,111.2,94.4,195,267,163,157,49.2,0,"383"
"1773",CRS3035RES1000mN2256000E3995000,"0","83108",481.5,182.9,15.9,31,12.9,167.9,12,12384339.5,19847.2,1,181.9,1,3,31,147.9,0,0,18.5,21.6,36.1,38.1,28.3,64.9,107.9,74.1,76.1,14.9,1,"383"
"1774",CRS3035RES1000mN2256000E3996000,"0","83108",104.5,45.1,4.1,8.9,2.1,39,3.1,2869801.8,6084.1,0,45.1,0,0,24.7,20.4,0,0,0,1.9,6.2,7.4,8.9,4.1,20.9,15.1,29.8,10.2,0,"383"
"1775",CRS3035RES1000mN2256000E3997000,"0","8306483108",119.5,43,1,8.9,5,38,1,3359549.7,5053,0,43,1.9,1,21,18,1.1,0,1.1,1.9,11.9,16.5,4.9,16,20.1,13.9,22.1,11.1,0,"383"
"1776",CRS3035RES1000mN2256000E3998000,"0","83064",626.5,267,24.9,66.9,14,245,15,16418530.1,28381.1,3,264,2,6,150.9,108.1,0,0,18,9,36,45,34.2,64.5,126.9,115.1,132.8,45,0,"383"
"1777",CRS3035RES1000mN2256000E3999000,"0","83064",755,317.1,11.9,64,20.9,302,16.9,20685885.7,34529,1,316.1,0,8,204.2,104,0.9,0,20.1,12.6,22.6,51.4,49.4,61,128.9,129,226.9,52.1,1,"383"
"1778",CRS3035RES1000mN2256000E4000000,"0","830648302383059",893,383,20,68,19,361.1,13,23236894.4,41955,2,381,1,10,200,171,1,0,18,10,22.5,52.9,47.5,84,148,152.1,294.1,63.9,0,"383"
"1779",CRS3035RES1000mN2256000E4001000,"0","830598306483023",101,43,1,5.1,1,43,1,2716632.4,5223.9,0,43,0,2,20.1,20.9,0,0,1,2,5,5,5.1,11,11.9,20.9,35.9,3.2,0,"383"
"1780",CRS3035RES1000mN2256000E4002000,"0","83059",649.5,292,47,106,18.9,215.1,27.1,14127202.2,24255,112,180,27.8,6.4,60.6,196.2,1,0,23,15,42,56.9,49.5,118,143,76,107.1,18,1,"383"
"1781",CRS3035RES1000mN2256000E4003000,"0","83059",397,149,9,29.1,11.1,126,9.8,9970070.1,16045.1,17.1,131.9,3.9,13.8,57.1,73,1.2,0,12.5,12.3,26.6,36.1,27.4,59.8,70.6,65.7,63.9,22.1,0,"383"
"1782",CRS3035RES1000mN2256000E4004000,"0","8305983111",166,73.2,9.2,18,6.1,65,5.2,4689986.4,8985,2.8,70.4,2,2.9,40,28.3,0,0,6.9,0,4,6.2,12,14.3,30.1,31.9,50.8,9.8,0,"383"
